Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Cryptosporidiosis, Cum 2013","Cryptosporidiosis, Cum 2013, flag","Dengue Fever†, Current week","Dengue Fever†, Current week, flag","Dengue Fever†, Previous 52 weeks Med","Dengue Fever†, Previous 52 weeks Med, flag","Dengue Fever†, Previous 52 weeks Max","Dengue Fever†, Previous 52 weeks Max, flag","Dengue Fever†, Cum 2014","Dengue Fever†, Cum 2014, flag","Dengue Fever†, Cum 2013","Dengue Fever†, Cum 2013, flag","Dengue Hemorrhagic Fever§, Current week","Dengue Hemorrhagic Fever§, Current week, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Med","Dengue Hemorrhagic Fever§, Previous 52 weeks Med, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Max","Dengue Hemorrhagic Fever§, Previous 52 weeks Max, flag","Dengue Hemorrhagic Fever§, Cum 2014","Dengue Hemorrhagic Fever§, Cum 2014, flag","Dengue Hemorrhagic Fever§, Cum 2013","Dengue Hemorrhagic Fever§, Cum 2013, flag",Location 1,Location 1 (city),Location 2,Location 1 (state)
LOUISIANA,2014,28,1,,4,,33,,68,,96,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312664106000454),,,LOUISIANA
NORTH DAKOTA,2014,28,,-,1,,7,,16,,24,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-100.11842599699969 47.47531892900048),,,NORTH DAKOTA
CALIFORNIA,2014,28,3,,6,,15,,159,,121,,,-,1,,9,,20,,36,,,-,0,,0,,,-,,-,POINT (-120.99999889499969 37.63864203100047),,,CALIFORNIA
NEW YORK CITY,2014,28,1,,2,,6,,36,,26,,,-,1,,9,,6,,42,,,-,0,,0,,,-,1,,POINT (-74.00596858999967 40.71426755700048),,,NEW YORK CITY
ILLINOIS,2014,28,,-,4,,16,,75,,105,,,-,0,,3,,1,,9,,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501433000047),,,ILLINOIS
NEW JERSEY,2014,28,,-,0,,5,,13,,30,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-74.27368565099965 40.13057159500045),,,NEW JERSEY
MINNESOTA,2014,28,,-,0,,17,,,-,123,,,-,0,,2,,,-,11,,,-,0,,0,,,-,1,,POINT (-94.79419697699967 46.35564575300049),,,MINNESOTA
PUERTO RICO,2014,28,,N,0,,0,,,N,,N,,-,38,,418,,367,,4468,,,-,0,,9,,2,,63,,POINT (-66.49988980099965 18.24828934900046),,,PUERTO RICO
MISSISSIPPI,2014,28,,-,1,,5,,21,,17,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,POINT (-89.53802764499966 32.745512774000474),,,MISSISSIPPI
MAINE,2014,28,,-,1,,4,,22,,12,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,POINT (-68.98502952999962 45.2542257390005),,,MAINE
IOWA,2014,28,,-,5,,160,,107,,231,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,POINT (-93.81648936699969 42.469401477000474),,,IOWA
NEBRASKA,2014,28,,-,2,,11,,21,,51,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.641041981000456),,,NEBRASKA
TENNESSEE,2014,28,2,,2,,6,,37,,23,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,POINT (-85.77448642199965 35.68094014000047),,,TENNESSEE
WYOMING,2014,28,,-,0,,25,,9,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.235543013000495),,,WYOMING
VIRGINIA,2014,28,1,,3,,9,,61,,49,,,-,0,,3,,5,,9,,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.542682294000485),,,VIRGINIA
OKLAHOMA,2014,28,2,,1,,4,,31,,30,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472031425000466),,,OKLAHOMA
ARKANSAS,2014,28,1,,1,,12,,11,,17,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.74865329300047),,,ARKANSAS
TEXAS,2014,28,3,,7,,37,,136,,118,,,-,1,,11,,5,,15,,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827240712000446),,,TEXAS
OREGON,2014,28,1,,3,,58,,57,,73,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.56745218600048),,,OREGON
NEVADA,2014,28,,-,0,,2,,6,,9,,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.493242807000456),,,NEVADA
OHIO,2014,28,9,,6,,17,,149,,151,,,-,0,,2,,6,,6,,,-,0,,0,,,-,,-,POINT (-82.40425685299965 40.06021184000048),,,OHIO
MARYLAND,2014,28,3,,1,,4,,29,,24,,,-,0,,2,,5,,5,,,-,0,,0,,,-,,-,POINT (-76.60925970899967 39.29058224000045),,,MARYLAND
COLORADO,2014,28,1,,1,,7,,29,,39,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.13360888799969 38.84384201300048),,,COLORADO
NEW MEXICO,2014,28,,-,1,,4,,28,,18,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.24057768899968 34.520884020000494),,,NEW MEXICO
GEORGIA,2014,28,4,,6,,16,,128,,113,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,POINT (-83.62757601199968 32.83968158500045),,,GEORGIA
MISSOURI,2014,28,8,,3,,11,,68,,81,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.56629737199967 38.63579079900046),,,MISSOURI
WEST VIRGINIA,2014,28,,-,0,,2,,2,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-80.71263935099967 38.66551303900047),,,WEST VIRGINIA
SOUTH DAKOTA,2014,28,,-,2,,17,,43,,59,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313049600046),,,SOUTH DAKOTA
UTAH,2014,28,,-,1,,8,,21,,41,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070082200047),,,UTAH
SOUTH CAROLINA,2014,28,2,,2,,8,,42,,36,,,-,0,,4,,,-,2,,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882214300044),,,SOUTH CAROLINA
RHODE ISLAND,2014,28,,-,0,,3,,9,,4,,,-,0,,1,,1,,5,,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.708284362000484),,,RHODE ISLAND
ARIZONA,2014,28,1,,1,,5,,27,,21,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-111.76380949799972 34.865970167000455),,,ARIZONA
NEW YORK,2014,28,6,,4,,16,,79,,72,,,-,0,,4,,12,,29,,,-,0,,1,,,-,,-,POINT (-75.54396639699968 42.82700178100049),,,NEW YORK
HAWAII,2014,28,,-,0,,1,,1,,1,,,-,0,,2,,2,,7,,,-,0,,0,,,-,,-,POINT (-157.85774691599974 21.304853205000427),,,HAWAII
NEW HAMPSHIRE,2014,31,,-,0,,4,,11,,22,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,,,,NEW HAMPSHIRE
INDIANA,2014,28,,-,3,,7,,52,,57,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-86.14995579899966 39.76691072200049),,,INDIANA
UNITED STATES,2014,29,99,,108,,475,,2797,,3246,,,-,9,,49,,119,,339,,,-,0,,2,,,-,3,,,,,
NEW ENGLAND,2014,29,1,,5,,14,,124,,126,,,-,0,,3,,6,,15,,,-,0,,0,,,-,,-,,,,
MID. ATLANTIC,2014,29,20,,12,,42,,289,,301,,,-,3,,12,,46,,90,,,-,0,,1,,,-,1,,,,,
E.N. CENTRAL,2014,29,13,,22,,64,,552,,699,,,-,0,,6,,10,,34,,,-,0,,0,,,-,,-,,,,
W.N. CENTRAL,2014,29,7,,14,,200,,309,,749,,,-,0,,3,,,-,16,,,-,0,,1,,,-,2,,,,,
S. ATLANTIC,2014,29,36,,24,,55,,675,,475,,,-,2,,16,,21,,93,,,-,0,,1,,,-,,-,,,,
DIST. OF COL.,2014,29,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,,DIST. OF COL.
E.S. CENTRAL,2014,29,3,,6,,19,,145,,144,,,-,0,,2,,1,,12,,,-,0,,0,,,-,,-,,,,
W.S. CENTRAL,2014,29,7,,12,,47,,258,,277,,,-,1,,11,,6,,21,,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,29,6,,8,,61,,186,,225,,,-,0,,1,,3,,4,,,-,0,,0,,,-,,-,,,,
PACIFIC,2014,29,6,,10,,76,,259,,250,,,-,2,,9,,26,,54,,,-,0,,0,,,-,,-,,,,
AMER. SAMOA,2014,29,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,AMER. SAMOA
C.N.M.I.,2014,29,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,C.N.M.I.
VIRGIN ISL.,2014,29,,-,0,,0,,,-,,-,,-,0,,5,,,-,127,,,-,0,,0,,,-,5,,,,,VIRGIN ISL.
MASSACHUSETTS,2014,29,,-,2,,7,,55,,65,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687014100047),,,MASSACHUSETTS
OREGON,2014,29,1,,3,,58,,61,,87,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.56745218600048),,,OREGON
NORTH CAROLINA,2014,29,,-,1,,28,,85,,50,,,-,0,,2,,4,,8,,,-,0,,0,,,-,,-,POINT (-79.15924924699965 35.46622096200048),,,NORTH CAROLINA
NEW YORK CITY,2014,29,2,,2,,6,,38,,28,,,-,1,,9,,13,,44,,,-,0,,0,,,-,1,,POINT (-74.00596858999967 40.71426755700048),,,NEW YORK CITY
ILLINOIS,2014,29,,-,4,,16,,75,,120,,,-,0,,3,,1,,10,,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501433000047),,,ILLINOIS
NEW JERSEY,2014,29,,-,0,,5,,13,,32,,,-,0,,4,,13,,,-,,-,0,,0,,,-,,-,POINT (-74.27368565099965 40.13057159500045),,,NEW JERSEY
CALIFORNIA,2014,29,5,,6,,15,,165,,132,,,-,1,,9,,20,,41,,,-,0,,0,,,-,,-,POINT (-120.99999889499969 37.63864203100047),,,CALIFORNIA
MARYLAND,2014,29,2,,1,,4,,31,,24,,,-,0,,2,,5,,5,,,-,0,,0,,,-,,-,POINT (-76.60925970899967 39.29058224000045),,,MARYLAND
HAWAII,2014,29,,-,0,,1,,1,,1,,,-,0,,2,,4,,7,,,-,0,,0,,,-,,-,POINT (-157.85774691599974 21.304853205000427),,,HAWAII
TENNESSEE,2014,29,,-,2,,6,,39,,27,,,-,0,,2,,,-,8,,,-,0,,0,,,-,,-,POINT (-85.77448642199965 35.68094014000047),,,TENNESSEE
WASHINGTON,2014,29,,-,0,,11,,31,,28,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,POINT (-120.47002746299972 47.5222894470005),,,WASHINGTON
COLORADO,2014,29,3,,1,,7,,32,,43,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.13360888799969 38.84384201300048),,,COLORADO
INDIANA,2014,29,,-,3,,7,,55,,64,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-86.14995579899966 39.76691072200049),,,INDIANA
ALABAMA,2014,29,1,,2,,9,,55,,58,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,POINT (-86.63185803899967 32.84057034900047),,,ALABAMA
IDAHO,2014,29,3,,2,,22,,34,,48,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,POINT (-114.3637261449997 43.68263160000049),,,IDAHO
NEBRASKA,2014,29,,-,2,,11,,21,,54,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.641041981000456),,,NEBRASKA
IOWA,2014,29,,-,5,,160,,115,,348,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,POINT (-93.81648936699969 42.469401477000474),,,IOWA
NEW HAMPSHIRE,2014,29,,-,0,,4,,11,,18,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.65595081000049),,,NEW HAMPSHIRE
ARKANSAS,2014,29,,-,1,,12,,11,,18,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.74865329300047),,,ARKANSAS
KANSAS,2014,29,1,,1,,7,,29,,45,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,POINT (-98.20077655499966 38.3477418760005),,,KANSAS
GEORGIA,2014,29,2,,6,,16,,130,,118,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,POINT (-83.62757601199968 32.83968158500045),,,GEORGIA
FLORIDA,2014,29,28,,9,,32,,317,,175,,,-,0,,13,,5,,62,,,-,0,,0,,,-,,-,POINT (-81.92895558499964 28.93204444200046),,,FLORIDA
MICHIGAN,2014,29,2,,4,,15,,98,,118,,,-,0,,3,,,-,9,,,-,0,,0,,,-,,-,POINT (-84.71438724399968 44.66132176400049),,,MICHIGAN
WYOMING,2014,29,,-,0,,25,,9,,11,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.235543013000495),,,WYOMING
TEXAS,2014,29,3,,7,,37,,142,,124,,,-,0,,11,,5,,16,,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827240712000446),,,TEXAS
ALASKA,2014,29,,-,0,,1,,1,,2,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-147.72205669099972 64.84507631500048),,,ALASKA
UTAH,2014,29,,-,1,,8,,21,,43,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070082200047),,,UTAH
WEST VIRGINIA,2014,29,,-,0,,2,,2,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-80.71263935099967 38.66551303900047),,,WEST VIRGINIA
OHIO,2014,29,7,,6,,17,,156,,161,,,-,0,,1,,6,,6,,,-,0,,0,,,-,,-,POINT (-82.40425685299965 40.06021184000048),,,OHIO
GUAM,2014,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (144.73149801400064 13.480998894000436),,,GUAM
DELAWARE,2014,29,,-,0,,2,,2,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-75.57773943699965 39.00883059000046),,,DELAWARE
PUERTO RICO,2014,29,,N,0,,0,,,N,,N,,-,36,,418,,374,,4783,,,-,0,,9,,2,,67,,POINT (-66.49988980099965 18.24828934900046),,,PUERTO RICO
AMER. SAMOA,2014,40,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,AMER. SAMOA
VIRGINIA,2014,29,2,,3,,9,,64,,54,,,-,0,,3,,5,,11,,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.542682294000485),,,VIRGINIA
OKLAHOMA,2014,29,4,,1,,4,,35,,30,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472031425000466),,,OKLAHOMA
WISCONSIN,2014,29,4,,7,,25,,168,,236,,,-,0,,1,,3,,6,,,-,0,,0,,,-,,-,POINT (-89.81636715299965 44.393191877000504),,,WISCONSIN
NORTH DAKOTA,2014,29,,-,1,,7,,16,,24,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-100.11842599699969 47.47531892900048),,,NORTH DAKOTA
MISSISSIPPI,2014,29,,-,1,,5,,22,,17,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,POINT (-89.53802764499966 32.745512774000474),,,MISSISSIPPI
MINNESOTA,2014,29,,-,0,,17,,,-,128,,,-,0,,2,,,-,12,,,-,0,,0,,,-,1,,POINT (-94.79419697699967 46.35564575300049),,,MINNESOTA
VERMONT,2014,29,,-,0,,3,,8,,10,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538000100045),,,VERMONT
CONNECTICUT,2014,29,,-,0,,5,,17,,15,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266101800048),,,CONNECTICUT
MAINE,2014,29,1,,1,,4,,24,,14,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,POINT (-68.98502952999962 45.2542257390005),,,MAINE
SOUTH DAKOTA,2014,29,2,,3,,17,,52,,60,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313049600046),,,SOUTH DAKOTA
NEW MEXICO,2014,29,,-,1,,4,,31,,19,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.24057768899968 34.520884020000494),,,NEW MEXICO
MONTANA,2014,29,,-,1,,23,,26,,28,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.06652759400049),,,MONTANA
PENNSYLVANIA,2014,29,5,,6,,30,,146,,162,,,-,0,,3,,7,,15,,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373260300048),,,PENNSYLVANIA
ARIZONA,2014,29,,-,1,,5,,27,,22,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-111.76380949799972 34.865970167000455),,,ARIZONA
RHODE ISLAND,2014,29,,-,0,,3,,9,,4,,,-,0,,1,,2,,5,,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.708284362000484),,,RHODE ISLAND
NEW YORK,2014,29,13,,4,,16,,92,,79,,,-,0,,4,,13,,31,,,-,0,,1,,,-,,-,POINT (-75.54396639699968 42.82700178100049),,,NEW YORK
NEVADA,2014,29,,-,0,,2,,6,,11,,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.493242807000456),,,NEVADA
MISSOURI,2014,29,4,,3,,12,,76,,90,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.56629737199967 38.63579079900046),,,MISSOURI
SOUTH CAROLINA,2014,29,2,,2,,8,,44,,37,,,-,0,,4,,,-,2,,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882214300044),,,SOUTH CAROLINA
KENTUCKY,2014,29,2,,1,,5,,29,,42,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645970985000474),,,KENTUCKY
LOUISIANA,2014,29,,-,4,,33,,70,,105,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312664106000454),,,LOUISIANA
UNITED STATES,2014,30,120,,109,,475,,2977,,3674,,,-,8,,49,,129,,356,,,-,0,,2,,1,,3,,,,,
NEW ENGLAND,2014,30,4,,5,,14,,132,,140,,,-,0,,3,,6,,16,,,-,0,,0,,,-,,-,,,,
MID. ATLANTIC,2014,30,20,,12,,42,,309,,343,,,-,2,,12,,52,,95,,,-,0,,1,,,-,1,,,,,
E.N. CENTRAL,2014,30,15,,22,,64,,595,,763,,,-,0,,6,,12,,34,,,-,0,,0,,,-,,-,,,,
W.N. CENTRAL,2014,30,6,,14,,200,,327,,939,,,-,0,,3,,,-,17,,,-,0,,1,,1,,2,,,,,
S. ATLANTIC,2014,30,56,,25,,55,,734,,503,,,-,2,,16,,23,,97,,,-,0,,1,,,-,,-,,,,
DIST. OF COL.,2014,30,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,,DIST. OF COL.
E.S. CENTRAL,2014,30,5,,6,,19,,153,,151,,,-,0,,2,,1,,12,,,-,0,,0,,,-,,-,,,,
W.S. CENTRAL,2014,30,7,,12,,47,,270,,301,,,-,0,,11,,6,,23,,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,30,5,,8,,61,,195,,243,,,-,0,,1,,3,,5,,,-,0,,0,,,-,,-,,,,
PACIFIC,2014,30,2,,10,,76,,262,,291,,,-,1,,9,,26,,57,,,-,0,,0,,,-,,-,,,,
AMER. SAMOA,2014,30,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,AMER. SAMOA
C.N.M.I.,2014,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,C.N.M.I.
VIRGIN ISL.,2014,30,,-,0,,0,,,-,,-,,-,0,,5,,,-,129,,,-,0,,0,,,-,5,,,,,VIRGIN ISL.
WYOMING,2014,30,,-,0,,25,,9,,12,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.235543013000495),,,WYOMING
KANSAS,2014,30,,-,1,,7,,29,,48,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,POINT (-98.20077655499966 38.3477418760005),,,KANSAS
LOUISIANA,2014,30,,-,3,,33,,70,,115,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312664106000454),,,LOUISIANA
ALASKA,2014,30,,-,0,,1,,1,,2,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-147.72205669099972 64.84507631500048),,,ALASKA
MAINE,2014,30,,-,1,,4,,26,,15,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,POINT (-68.98502952999962 45.2542257390005),,,MAINE
SOUTH DAKOTA,2014,30,1,,3,,17,,55,,63,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313049600046),,,SOUTH DAKOTA
MARYLAND,2014,30,,-,1,,4,,31,,27,,,-,0,,2,,5,,5,,,-,0,,0,,,-,,-,POINT (-76.60925970899967 39.29058224000045),,,MARYLAND
MINNESOTA,2014,30,,-,0,,17,,,-,140,,,-,0,,2,,,-,12,,,-,0,,0,,,-,1,,POINT (-94.79419697699967 46.35564575300049),,,MINNESOTA
MISSOURI,2014,30,5,,3,,12,,81,,97,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-92.56629737199967 38.63579079900046),,,MISSOURI
NEW MEXICO,2014,30,,-,1,,4,,31,,22,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.24057768899968 34.520884020000494),,,NEW MEXICO
NEW YORK CITY,2014,30,,-,2,,6,,38,,32,,,-,1,,9,,16,,48,,,-,0,,0,,,-,1,,POINT (-74.00596858999967 40.71426755700048),,,NEW YORK CITY
MISSISSIPPI,2014,30,,-,1,,5,,23,,19,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,POINT (-89.53802764499966 32.745512774000474),,,MISSISSIPPI
TENNESSEE,2014,30,2,,2,,6,,41,,29,,,-,0,,1,,,-,8,,,-,0,,0,,,-,,-,POINT (-85.77448642199965 35.68094014000047),,,TENNESSEE
NEW YORK,2014,30,11,,4,,16,,103,,83,,,-,0,,4,,14,,31,,,-,0,,1,,,-,,-,POINT (-75.54396639699968 42.82700178100049),,,NEW YORK
ARKANSAS,2014,30,1,,1,,12,,12,,20,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.74865329300047),,,ARKANSAS
OHIO,2014,30,10,,6,,17,,166,,171,,,-,0,,1,,7,,6,,,-,0,,0,,,-,,-,POINT (-82.40425685299965 40.06021184000048),,,OHIO
ARIZONA,2014,30,,-,1,,5,,27,,23,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-111.76380949799972 34.865970167000455),,,ARIZONA
WISCONSIN,2014,30,4,,7,,25,,187,,261,,,-,0,,2,,4,,6,,,-,0,,0,,,-,,-,POINT (-89.81636715299965 44.393191877000504),,,WISCONSIN
WASHINGTON,2014,30,2,,0,,11,,32,,28,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,POINT (-120.47002746299972 47.5222894470005),,,WASHINGTON
COLORADO,2014,30,2,,1,,7,,34,,45,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.13360888799969 38.84384201300048),,,COLORADO
MICHIGAN,2014,30,1,,4,,15,,105,,125,,,-,0,,3,,,-,9,,,-,0,,0,,,-,,-,POINT (-84.71438724399968 44.66132176400049),,,MICHIGAN
CONNECTICUT,2014,30,,-,0,,5,,18,,19,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266101800048),,,CONNECTICUT
SOUTH CAROLINA,2014,30,1,,2,,8,,45,,40,,,-,0,,4,,,-,2,,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882214300044),,,SOUTH CAROLINA
KENTUCKY,2014,30,2,,1,,3,,32,,44,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645970985000474),,,KENTUCKY
INDIANA,2014,30,,-,3,,7,,59,,70,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-86.14995579899966 39.76691072200049),,,INDIANA
OREGON,2014,30,,-,3,,58,,62,,124,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.56745218600048),,,OREGON
MASSACHUSETTS,2014,30,3,,2,,7,,58,,72,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687014100047),,,MASSACHUSETTS
WEST VIRGINIA,2014,30,,-,0,,2,,3,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-80.71263935099967 38.66551303900047),,,WEST VIRGINIA
IOWA,2014,30,,-,5,,160,,124,,504,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,POINT (-93.81648936699969 42.469401477000474),,,IOWA
NEW HAMPSHIRE,2014,30,,-,0,,4,,11,,20,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.65595081000049),,,NEW HAMPSHIRE
VERMONT,2014,30,1,,0,,3,,9,,10,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538000100045),,,VERMONT
NEVADA,2014,30,,-,0,,2,,8,,12,,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.493242807000456),,,NEVADA
MONTANA,2014,30,,-,1,,23,,27,,29,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.06652759400049),,,MONTANA
PENNSYLVANIA,2014,30,9,,6,,30,,155,,192,,,-,0,,3,,7,,16,,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373260300048),,,PENNSYLVANIA
PUERTO RICO,2014,30,,N,0,,0,,,N,,N,,-,33,,418,,375,,5127,,,-,0,,9,,2,,76,,POINT (-66.49988980099965 18.24828934900046),,,PUERTO RICO
TEXAS,2014,30,3,,7,,37,,150,,133,,,-,0,,11,,5,,18,,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827240712000446),,,TEXAS
RHODE ISLAND,2014,30,,-,0,,3,,10,,4,,,-,0,,1,,2,,5,,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.708284362000484),,,RHODE ISLAND
CALIFORNIA,2014,30,,-,6,,15,,165,,136,,,-,1,,9,,20,,43,,,-,0,,0,,,-,,-,POINT (-120.99999889499969 37.63864203100047),,,CALIFORNIA
